Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2023-09-09T05:35:43.253726Z,,CASH TOP-UP,,,$286,USD,0.2324
2023-10-23T13:30:16.841Z,AMCR,BUY - MARKET,23.52941176,$8.50,$200,USD,0.2385
2023-11-02T08:54:48.929722Z,,CUSTODY FEE,,,-$0.02,USD,0.2389
2023-11-19T09:39:17.302235Z,,CASH TOP-UP,,,"$5,000",USD,0.2497
2023-11-20T14:30:12.789Z,PXD,BUY - MARKET,20.8750835,$239.52,"$5,000",USD,0.2509
2023-12-01T10:29:59.393248Z,,CUSTODY FEE,,,-$0.51,USD,0.2514
2023-12-08T05:19:25.659471Z,,CASH TOP-UP,,,"$6,500",USD,0.2497
2023-12-08T14:30:08.150Z,TFC,BUY - MARKET,191.17647058,$34,"$6,500",USD,0.2486
2023-12-14T10:22:14.959944Z,AMCR,DIVIDEND,,,$2.94,USD,0.254
